epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,613.256,0.97221,0.86441,2.41468,0.80665,0.86587,0.87981,0.56127,1.18388,0.84264,2.9495,0.000660045,0.000660045,0.000660045
43,628.148,0.95578,0.84403,2.39311,0.76792,0.80564,0.8185,0.52427,1.12642,0.96243,2.94363,0.000649046,0.000649046,0.000649046
44,642.689,0.95982,0.82564,2.37479,0.85486,0.88539,0.89799,0.56374,1.16936,0.84971,3.01046,0.000638047,0.000638047,0.000638047
45,657.646,0.93574,0.80544,2.38337,0.78137,0.75931,0.80919,0.4884,1.28731,1.04268,3.08798,0.000627048,0.000627048,0.000627048
46,672.457,0.93339,0.8044,2.30526,0.8575,0.82881,0.87474,0.58328,1.10357,0.99315,2.81525,0.000616049,0.000616049,0.000616049
47,687.269,0.92604,0.8139,2.33102,0.74987,0.84845,0.86259,0.55176,1.15869,0.94222,2.95456,0.000605051,0.000605051,0.000605051
48,701.873,0.92872,0.79758,2.36257,0.84736,0.86152,0.84396,0.55065,1.18685,0.8472,2.95105,0.000594052,0.000594052,0.000594052
49,716.733,0.92318,0.78623,2.31346,0.84941,0.84564,0.8453,0.53905,1.20981,0.92264,3.05074,0.000583053,0.000583053,0.000583053
50,731.492,0.91,0.79164,2.34272,0.87762,0.89159,0.91294,0.56843,1.22817,0.8634,2.9592,0.000572054,0.000572054,0.000572054
51,746.081,0.94314,0.80313,2.3722,0.84638,0.83885,0.90079,0.56731,1.19969,0.89938,2.93993,0.000561055,0.000561055,0.000561055
52,760.792,0.91001,0.7646,2.34858,0.86959,0.84499,0.88978,0.58632,1.15591,0.87203,2.92288,0.000550056,0.000550056,0.000550056
53,775.488,0.9252,0.80401,2.36039,0.82517,0.87218,0.8812,0.56921,1.20224,0.86965,2.9588,0.000539057,0.000539057,0.000539057
54,790.046,0.90983,0.77729,2.31569,0.8425,0.77609,0.8197,0.51257,1.28804,0.93711,3.09713,0.000528058,0.000528058,0.000528058
55,804.781,0.88658,0.75177,2.2832,0.84144,0.84262,0.85623,0.53915,1.21496,0.89756,3.08856,0.000517059,0.000517059,0.000517059
56,819.489,0.91269,0.76397,2.34113,0.87769,0.86369,0.89388,0.56374,1.21945,0.9,3.05034,0.00050606,0.00050606,0.00050606
57,834.566,0.88755,0.75166,2.32561,0.84638,0.87796,0.87142,0.55558,1.23308,0.88194,3.01302,0.000495062,0.000495062,0.000495062
58,849.34,0.87945,0.7405,2.31724,0.83175,0.83741,0.86107,0.54797,1.18289,0.89366,2.97586,0.000484063,0.000484063,0.000484063
59,864.376,0.89135,0.7451,2.35746,0.78803,0.85859,0.84356,0.52874,1.1913,0.93833,3.0356,0.000473064,0.000473064,0.000473064
60,879.135,0.85788,0.73411,2.3043,0.89349,0.87381,0.89681,0.59161,1.22346,0.83123,3.01515,0.000462065,0.000462065,0.000462065
61,893.902,0.8437,0.73321,2.3586,0.84519,0.84019,0.89528,0.57287,1.15859,0.85239,3.00166,0.000451066,0.000451066,0.000451066
62,908.858,0.85701,0.72776,2.28157,0.82671,0.84284,0.86926,0.56756,1.1662,0.91557,2.98495,0.000440067,0.000440067,0.000440067
63,924,0.85081,0.7339,2.30216,0.82502,0.85174,0.88601,0.56587,1.18831,0.85087,3.01135,0.000429068,0.000429068,0.000429068
64,939.371,0.84708,0.70292,2.30304,0.8385,0.8206,0.86109,0.55745,1.15855,0.86462,2.97543,0.000418069,0.000418069,0.000418069
65,954.344,0.85549,0.72597,2.28985,0.81918,0.83919,0.86122,0.55579,1.15961,0.9027,3.05076,0.00040707,0.00040707,0.00040707
66,969.347,0.84282,0.72407,2.29438,0.88675,0.81898,0.88736,0.57747,1.13809,0.83611,2.98895,0.000396071,0.000396071,0.000396071
67,984.11,0.84178,0.71313,2.28675,0.79962,0.7941,0.85416,0.55957,1.1983,0.89412,2.97237,0.000385073,0.000385073,0.000385073
68,998.962,0.84293,0.71787,2.32405,0.83447,0.83103,0.85113,0.55654,1.16211,0.88874,3.08641,0.000374074,0.000374074,0.000374074
69,1013.72,0.82478,0.68834,2.25787,0.8734,0.79797,0.87928,0.56783,1.18559,0.90966,3.07174,0.000363075,0.000363075,0.000363075
