epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.7,3.10803,4.16887,4.14885,0.00262,0.73002,0.1034,0.03082,2.7991,4.54588,4.041,0.000408805,0.000408805,0.000408805
2,832.318,2.88616,3.86171,3.8163,0.75797,0.21875,0.04452,0.01197,3.05929,5.7664,3.87675,0.000813797,0.000813797,0.000813797
3,1226.77,2.6078,3.68148,3.39444,0.59619,0.29427,0.19095,0.07051,2.51193,5.82221,3.63819,0.001207,0.001207,0.001207
4,1639.87,2.42938,3.51535,3.13488,0.89735,0.14356,0.17192,0.07996,2.46504,4.17558,3.34275,0.00119696,0.00119696,0.00119696
5,2113.71,2.22351,3.35171,2.90272,0.42336,0.40955,0.277,0.1064,2.04134,4.42555,2.95347,0.00117929,0.00117929,0.00117929
6,2644.64,2.09866,3.06221,2.76133,0.07488,0.216,0.0628,0.01908,2.09366,4.19127,3.00549,0.00116161,0.00116161,0.00116161
7,3157.92,2.01094,2.97464,2.636,0.48506,0.27343,0.21891,0.08843,2.07896,3.17508,2.96503,0.00114393,0.00114393,0.00114393
8,3664.84,1.90987,2.78742,2.52971,0.66076,0.3276,0.30161,0.15842,1.75649,3.60225,2.63936,0.00112625,0.00112625,0.00112625
9,4167.99,1.85472,2.66885,2.44893,0.4833,0.363,0.35153,0.19211,1.75995,3.02016,2.57647,0.00110857,0.00110857,0.00110857
10,4693.54,1.72817,2.53804,2.34124,0.79233,0.28464,0.35431,0.17778,1.73163,2.84179,2.52158,0.00109089,0.00109089,0.00109089
11,5203.27,1.72042,2.46895,2.31614,0.39177,0.48409,0.38388,0.21547,1.6463,2.75046,2.42452,0.00107321,0.00107321,0.00107321
12,5712.5,1.65487,2.3784,2.25177,0.26776,0.42804,0.39518,0.2562,1.68014,2.73988,2.52554,0.00105554,0.00105554,0.00105554
13,6225.17,1.63203,2.31731,2.2268,0.49542,0.46152,0.49831,0.31466,1.52445,2.4716,2.34389,0.00103786,0.00103786,0.00103786
14,6724.78,1.56751,2.21,2.14891,0.32248,0.49941,0.46892,0.30981,1.52327,2.51488,2.31741,0.00102018,0.00102018,0.00102018
15,7235.1,1.53666,2.14458,2.12457,0.46446,0.52489,0.52519,0.34711,1.42962,2.08572,2.20278,0.0010025,0.0010025,0.0010025
16,7744.71,1.47068,2.09254,2.05877,0.6394,0.50082,0.54569,0.34382,1.45359,2.33713,2.26321,0.000984821,0.000984821,0.000984821
17,8252.74,1.52694,2.08928,2.08431,0.65935,0.54785,0.57461,0.36531,1.44597,2.20719,2.1844,0.000967143,0.000967143,0.000967143
